verse_key,surah_number,surah_name_ar,ayah_number,verified_end_page,verified_end_x,verified_end_y,stored_page,stored_end_x,stored_end_y,endpoint_status,endpoint_status_ar,stored_nearest_verified_verse,same_page_distance_px,nearest_marker_distance_px,start_status,start_status_ar,requires_endpoint_fix,requires_start_geometry_fix,notes_ar
2:53,2,البقرة,53,8,45.0,787.5,8,45.0,787.0,CORRECT,مطابق,2:53,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:54,2,البقرة,54,8,909.5,1254.5,8,909.5,1254.0,CORRECT,مطابق,2:54,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:61,2,البقرة,61,9,45.0,1729.0,9,45.0,1728.5,CORRECT,مطابق,2:61,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:68,2,البقرة,68,10,888.5,1603.25,10,888.0,1603.0,CORRECT,مطابق,2:68,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:73,2,البقرة,73,11,575.25,793.5,11,575.0,793.0,CORRECT,مطابق,2:73,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:75,2,البقرة,75,11,850.75,1499.5,11,851.0,1499.0,CORRECT,مطابق,2:75,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:78,2,البقرة,78,12,817.5,316.5,12,817.5,316.0,CORRECT,مطابق,2:78,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:80,2,البقرة,80,12,435.0,904.5,12,435.0,904.0,CORRECT,مطابق,2:80,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:85,2,البقرة,85,13,626.5,1020.0,13,626.5,1019.5,CORRECT,مطابق,2:85,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:87,2,البقرة,87,13,268.5,1609.25,13,268.5,1609.0,CORRECT,مطابق,2:87,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:90,2,البقرة,90,14,47.0,660.0,14,47.0,659.5,CORRECT,مطابق,2:90,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:91,2,البقرة,91,14,846.5,1128.25,14,847.0,1128.0,CORRECT,مطابق,2:91,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:96,2,البقرة,96,15,196.0,662.5,15,196.0,662.0,CORRECT,مطابق,2:96,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:98,2,البقرة,98,15,289.5,1133.75,15,289.5,1133.0,CORRECT,مطابق,2:98,0.75,0.75,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:100,2,البقرة,100,15,807.5,1485.0,15,807.0,1485.0,CORRECT,مطابق,2:100,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:104,2,البقرة,104,16,199.5,1378.75,16,199.0,1378.5,CORRECT,مطابق,2:104,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:116,2,البقرة,116,18,521.25,1139.5,18,521.5,1139.0,CORRECT,مطابق,2:116,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:123,2,البقرة,123,19,632.5,906.0,19,610.5,905.5,CENTER_OFFSET,انحراف في مركز العلامة,2:123,22.01,22.01,START_ANCHOR_OK,مرساة البداية مطابقة لعلامة الآية السابقة,True,False,الموضع قريب من العلامة الصحيحة لكنه منحرف أكثر من 8 بكسل
2:124,2,البقرة,124,19,591.5,1141.75,19,591.5,1141.0,CORRECT,مطابق,2:124,0.75,0.75,START_ANCHOR_WRONG_OR_MISSING,مرساة البداية خاطئة أو مفقودة,False,True,
2:126,2,البقرة,126,19,50.5,1728.5,19,50.0,1728.0,CORRECT,مطابق,2:126,0.71,0.71,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:137,2,البقرة,137,21,43.5,795.5,21,43.5,795.0,CORRECT,مطابق,2:137,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:138,2,البقرة,138,21,836.0,1034.0,21,836.0,1033.5,CORRECT,مطابق,2:138,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:140,2,البقرة,140,21,703.5,1624.0,21,703.0,1624.0,CORRECT,مطابق,2:140,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:156,2,البقرة,156,24,42.25,440.0,24,42.0,439.5,CORRECT,مطابق,2:156,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:157,2,البقرة,157,24,710.5,674.5,24,710.0,674.0,CORRECT,مطابق,2:157,0.71,0.71,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:160,2,البقرة,160,24,651.25,1382.25,24,651.0,1382.0,CORRECT,مطابق,2:160,0.35,0.35,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:162,2,البقرة,162,24,40.5,1618.0,24,40.5,1617.5,CORRECT,مطابق,2:162,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:163,2,البقرة,163,24,41.25,1736.0,24,41.0,1735.5,CORRECT,مطابق,2:163,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:166,2,البقرة,166,25,541.75,1146.5,25,541.5,1146.0,CORRECT,مطابق,2:166,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:168,2,البقرة,168,25,312.0,1618.5,25,312.0,1618.0,CORRECT,مطابق,2:168,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:172,2,البقرة,172,26,247.0,658.25,26,247.0,658.0,CORRECT,مطابق,2:172,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:185,2,البقرة,185,28,306.0,1492.0,28,306.0,1491.5,CORRECT,مطابق,2:185,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:189,2,البقرة,189,29,645.75,1614.5,29,645.5,1614.0,CORRECT,مطابق,2:189,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:200,2,البقرة,200,31,50.0,1372.75,31,49.5,1372.5,CORRECT,مطابق,2:200,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:201,2,البقرة,201,31,214.5,1607.75,31,214.0,1608.0,CORRECT,مطابق,2:201,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:204,2,البقرة,204,32,50.0,541.75,32,50.0,541.0,CORRECT,مطابق,2:204,0.75,0.75,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:205,2,البقرة,205,32,452.0,776.0,32,452.0,775.5,CORRECT,مطابق,2:205,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:210,2,البقرة,210,32,52.0,1717.75,32,52.0,1717.5,CORRECT,مطابق,2:210,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:213,2,البقرة,213,33,680.0,1136.75,33,680.0,1136.5,CORRECT,مطابق,2:213,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:221,2,البقرة,221,35,41.0,904.75,35,41.0,904.5,CORRECT,مطابق,2:221,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:222,2,البقرة,222,35,38.5,1257.5,35,38.5,1257.0,CORRECT,مطابق,2:222,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:223,2,البقرة,223,35,856.5,1614.0,35,856.0,1614.0,CORRECT,مطابق,2:223,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:232,2,البقرة,232,37,680.5,1013.25,37,658.5,1013.0,CENTER_OFFSET,انحراف في مركز العلامة,2:232,22.0,22.0,START_ANCHOR_OK,مرساة البداية مطابقة لعلامة الآية السابقة,True,False,الموضع قريب من العلامة الصحيحة لكنه منحرف أكثر من 8 بكسل
2:233,2,البقرة,233,37,34.25,1719.5,37,34.5,1719.0,CORRECT,مطابق,2:233,0.56,0.56,START_ANCHOR_WRONG_OR_MISSING,مرساة البداية خاطئة أو مفقودة,False,True,
2:235,2,البقرة,235,38,689.5,1024.0,38,689.5,1023.0,CORRECT,مطابق,2:235,1.0,1.0,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:240,2,البقرة,240,39,374.5,788.5,39,374.5,788.0,CORRECT,مطابق,2:240,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:244,2,البقرة,244,39,119.0,1494.75,39,119.0,1494.5,CORRECT,مطابق,2:244,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:248,2,البقرة,248,40,44.5,1720.25,40,44.5,1720.0,CORRECT,مطابق,2:248,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:261,2,البقرة,261,44,351.0,782.0,44,351.0,781.5,CORRECT,مطابق,2:261,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:262,2,البقرة,262,44,916.5,1136.5,44,895.5,1136.0,CENTER_OFFSET,انحراف في مركز العلامة,2:262,21.01,21.01,START_ANCHOR_OK,مرساة البداية مطابقة لعلامة الآية السابقة,True,False,الموضع قريب من العلامة الصحيحة لكنه منحرف أكثر من 8 بكسل
2:263,2,البقرة,263,44,452.0,1256.75,44,451.5,1256.5,CORRECT,مطابق,2:263,0.56,0.56,START_ANCHOR_WRONG_OR_MISSING,مرساة البداية خاطئة أو مفقودة,False,True,
2:269,2,البقرة,269,45,46.0,1728.5,45,45.5,1728.0,CORRECT,مطابق,2:269,0.71,0.71,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
2:277,2,البقرة,277,47,683.0,1024.5,47,683.0,1024.0,CORRECT,مطابق,2:277,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:13,3,آل عمران,13,51,573.0,1027.0,51,573.0,1026.5,CORRECT,مطابق,3:13,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:21,3,آل عمران,21,52,511.5,1611.25,52,512.0,1611.0,CORRECT,مطابق,3:21,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:24,3,آل عمران,24,53,391.5,433.5,53,392.0,433.0,CORRECT,مطابق,3:24,0.71,0.71,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:28,3,آل عمران,28,53,109.0,1492.5,53,109.0,1492.0,CORRECT,مطابق,3:28,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:36,3,آل عمران,36,54,480.5,1378.5,54,480.0,1378.0,CORRECT,مطابق,3:36,0.71,0.71,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:47,3,آل عمران,47,56,42.5,313.5,56,42.0,313.0,CORRECT,مطابق,3:47,0.71,0.71,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:48,3,آل عمران,48,56,42.5,428.75,56,42.0,428.5,CORRECT,مطابق,3:48,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:49,3,آل عمران,49,56,42.5,1018.75,56,42.5,1018.5,CORRECT,مطابق,3:49,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:50,3,آل عمران,50,56,635.5,1374.75,56,636.0,1374.5,CORRECT,مطابق,3:50,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:55,3,آل عمران,55,57,385.0,671.25,57,385.0,671.0,CORRECT,مطابق,3:55,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:61,3,آل عمران,61,57,41.0,1734.0,57,41.0,1733.5,CORRECT,مطابق,3:61,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:64,3,آل عمران,64,58,784.5,673.5,58,785.0,673.0,CORRECT,مطابق,3:64,0.71,0.71,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:66,3,آل عمران,66,58,790.5,1146.5,58,790.0,1146.0,CORRECT,مطابق,3:66,0.71,0.71,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:68,3,آل عمران,68,58,587.5,1499.75,58,587.0,1499.5,CORRECT,مطابق,3:68,0.56,0.56,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:76,3,آل عمران,76,59,43.0,1375.5,59,42.5,1375.0,CORRECT,مطابق,3:76,0.71,0.71,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:77,3,آل عمران,77,59,44.0,1727.5,59,44.0,1727.0,CORRECT,مطابق,3:77,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:94,3,آل عمران,94,62,797.5,665.5,62,797.5,665.0,CORRECT,مطابق,3:94,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:98,3,آل عمران,98,62,733.5,1373.0,62,733.5,1373.0,CORRECT,مطابق,3:98,0.0,0.0,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:102,3,آل عمران,102,63,882.5,430.5,63,882.5,430.0,CORRECT,مطابق,3:102,0.5,0.5,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:105,3,آل عمران,105,63,530.0,1257.75,63,530.0,1257.5,CORRECT,مطابق,3:105,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
3:110,3,آل عمران,110,64,808.0,545.25,64,808.0,545.0,CORRECT,مطابق,3:110,0.25,0.25,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
